Besoins_Title for which search is required,For testing,Descriptif,Keywords
Team Leader en charge du web site et OCMS,X,"Nous recherchons pour un de nos clients, un team leader site web
Compétences souhaitées
•  Expérience dans les environnements de Microsoft ou linux confirme
•  Maitriser les technologies frontend(javascript,nodeJs,HTML, CSS)
confirme
•  Maitrise en algorithmie
•  Experience en automatisation et déploiement(pupet, ansible)- exp en monitoring","Team leader, web, automatisation, deploiement,ingénieur, génie logiciel"
Développeur Appengine / Appscript / Python,X,"Nous recherchons pour un de nos clients, un développeur appengine, App script
Compétences souhaitées:
•  AppEngine
• App script
•  GCP
•  Python
• App Maker
• BigQuery
• Data Lake","Appengine,  Appscript, Python, developpeur"
Ingénieur Devops XLDEPLOY,X,"Nous recherchons pour un de nos clients, un ingénieur Devops XL Deploy
Compétences souhaitées:
•  XLDeploy
•  XLRelease
•  Jenkins
• Docker
• Ansible","Devops, XLDEPLOY, ingenieur"
Développeur React JS CONFIRMÉ ,X,"Nous recherchons pour un de nos clients, un developpeur react js confirmé
Expérience souhaitée
• 5 ans d’expérience minimum en développement Javascript  
Compétences souhaitées
• Expérience en Single page application et site à fort trafic
• React, Node, ES6, ES2017, Express
• Jest, TDD, Puppet
• Docker, Kubernetes, Mode Agile
Mission
=> 6 mois renouvelable / ASAP","react JS, Node js, ES6, express, Jest Puppet, docker, kubernetes developpeur"
Développeur JSF Primeface Confirmé,X,"
Nous recherchons pour un de nos clients, un developpeur JSF
Compétences souhaitées
• Bonne connaissance de JPF
• Evolution et maintenance des applications
• Java 8, Angular 4, PostgreSQL, Rest,, Maven, Git, 
• Méthode agile
Expériences souhaitées
• BAC+5 avec 5 ans d’exp dont 4 ans en tant que développeur Java JSF
Mission
=> 6 mois renouvelable / ASAP"," JSF, primeface, developpeur,Java, JEE, Struts, Intellij, TFS, jenkins, docker, Apacheppeur"
Chef de Projet Broadcast,X,"Nous recherchons pour un de nos clients, un chef de projet broadcast
Descriptif du poste
•Dans le cadre de la refonte complète d’une régie de production audiovisuel, 
• vous serez en charge de la gestion du projet et de sa bonne exécution.
Compétences souhaitées
•Technologie : Brodcast
• Proche Paris / 6 mois renouvelables / ASAP
Expéreience souhaitée
• Minimum 7-10 années d'expérience dans le domaine du broadcast.","Broadcast, brodcast, chef projet"
Développeur sénior Java/Angular,X,"Nous recherchons pour un de nos clients,  un développeur Java/angular
Compétences souhaitées
•  Mise en place d'un nouveau déclaratif réglementaire 
•  Réaliser la Conception et les Développements
•  Assister les développeurs moins expérimentés et Revue de code (offshore)
•  Reporting au pilote du projet
•  ANGLAIS COURANT OBLIGATOIRE !!
•  Java Spring Data JPA, Spring Batch/Boot, Webservice REST, Angular
•  SQL, Jenkins, Finance et Réglementaire, Entreprise Architect
Expériences souhaitées:
•   5/8 ans minimum
•   Expérience Solide en Développement sur les activités Salle de marché 
Mission
=>Durée : 1 an renouvelable / Démarrage : ASAP","Java, Spring, Data, JPA, Spring BatchBoot Webservice, REST Angular,
SQL, Jenkins, Finance et Réglementaire,  Architecte entreprise, developpeur"
Business analyste- reporting règlementaire,X,"Nous recherchons pour un de nos client un business analyst
Expérience souhaitée:
 •  Minimum 5 ans d’expérience sur du Reporting Règlementaire Finance de Marché 
Compétences souhaitées:
• Accompagnement des Métiers sur Expressions de leurs Besoin
• Rédaction des Spécifications Fonctionnelles Générales et Détaillées
• Assurer un Lien entre les Métiers et la MOE !
• Reporting Règlementaire Salle de Marché OBLIGATOIRE 
(EMIR, MIFID2 (RDT/APA), SFTR, DODD FRANCK…)
Mission
=> 3 mois renouvelables / Démarrage : ASAP","Business analyste, Business analyst, reglementaire, finance de marche, coordination, assistante MOA, AMOA"
Développeur Fullstack .net Core/Angular 6-7 ,X,"Nous recherchons pour un de nos clients un développeur fullstack.net:
Compétence souhaitée
• Conception et Développement From Scratch d’un Applicatif de gestion client
• TMA + Recette + Tests et Suivi de MEP
• Autonome sur Taches Complexes (50% Back / 50% Front)
• Mise en Place de Tests Unitaires (Très Important !!!)
• C#, ASP .NET CORE 2.0, ANGULAR 6/7, TYPESCRIPT, SQL SERVER, GIT, LINQ, SCRUM, AGILE
Expérience souhaitée
• 3/5 ans Exp en Développement Fullstack .Net/ANGULAR
Mission
=>  Durée : 1 an renouvelable / Démarrage : ASAP
 ","C#,  ASP .NET, CORE 2.0, ANGULAR 6/7,  TYPESCRIPT,  SQL,  SERVER, GIT,  LINQ, SCRUM, AGILE,  fullstack, analyse"
Expert virtualisation / Stockage/ Backup,X,"Nous recherchons pour un de nos clients, un expert virtualisation stockage /Backup
Descriptif
•  Effectuer un audit des infrastructures VMWare et stockage
•  Maitriser et optimiser les infrastructures VMWare, Stockage EMC/NetApp et backup d’entreprise 
•  Administration avancée des infrastructures de stockage (NAS/SAN, NETAPP,
 EMC VNX-UNIFY/VPLEX, BROCADE)
•  Administrer niveau 3 l’infrastructure de virtualisation (VMWare et sauvegarde Veeambackup)
•  Gérer et résoudre les incidents majeurs et critiques techniques sur l’ensemble 
des infrastructures virtuelles, stockages et backup
Compétences souhaitées
•  VMWARE
•  SAN/NAS
•  VEEAM 
• NETAPP
• EMC
• BROCADE
• POWERSHELL
Expérience souhaitée
•  Minimum 7 ans en Administration d’Infrastructure Virtuelle, Stockage et Backup
Mission
=>  6 mois renouvelables / Dispo : ASAP "," infrastructure, virtualisation, Stockage, Backup, expert, PowerShell, VMWare, administration,Systèmes d'information - Etudes & développement"
Business analyst/Proxy Product Owner,X,"Nous recherchons pour un de nos clients, un business analyst/ PPO
Expérience souhaitée:
• Minimum. 8 ans  en Lead Projets Techniques 
Compétences souhaitées:
•  Aider le BA/PO à suivre les développements réalisés en offshore
• Conduire et contrôler les développements offshore en COBOL !!
• Être capable de lire et comprendre un programme Cobol
• Proposer des solutions techniques en respect des contraintes Bred
• Participer ou animer les rituels AGILE de l'équipe (offshore et sur site)
• Coordonner les équipes de Dev (Build) et l’équipe d’Exploitation (Run)
• ANGLAIS OBLIGATOIRE !!!
• Cobol, Java, PHP, SQL, DATASTAGE, JIRA, AGILE
Mission
=>  3 mois renouvelables / Démarrage : ASAP","business analyst, cobol, technique, assistante MOA, AMOA"
"Architecture, Process & Data,",X,"Nous recherchons pour un de nos clients, un architecte qui sera positionné au sein de la Squad Architecture, Process & Data 
Compétences souhaitées
•  De représenter l’architecture Solutions dans les instances du processus cité ci-dessus.
  •  Challenger la solution à mettre en œuvre en termes de ROI, faisabilité, …  •  Identifier les blockers techniques et/ou en termes d’architecture
  • Donner une décision sur l’intérêt de lancer la phase suivante du processus (définie/design)
 •  D’assurer l’architecture solutions (fonctionnelle, applicative, technique) des sujets validés et de suivre leur implémentation lors de leur passage en développement/déploiement
 • De présenter aux experts techniques, architectes et au mangement le résultat, les choix d’architecture, et les différentes trajectoires pour parvenir à la cible
 • D’évaluer de façon macroscopique le coût du projet de mise en œuvre et d’aider les chefs de projets à cadencer le planning projet
 • De compléter la cartographie globale de notre SI en regard des solutions identifiées et validées
 • D’apporter de la méthode en termes d’architecture tout en restant adapté au contexte","architecte, process data"
Ingénieur Devops XLDEPLOY,X,"Nous recherchons pour un de nos clients, un ingenieur devops
Compétences souhaitées:
• Connaissances : XLDeploy, XLRelease, Jenkins, Docker, Ansible","XLDeploy, XLRelease, Jenkins, Docker, Ansible, ingenieur"
Ingénieur DevOps &  Cloud AWS,X,"Nous recherchons pour un de nos clients, un ingenieur devops
Compétences souhaitées
• Connaissances : AWS (EC2, S3, VPC, Clouformation, Lambda, RDS,...), Terraform, Jenkins/Gitlab-ci, Scripting Python.","AWS, Terraform, jenkins, gitlab, Scripting, python"
Architecte Azure ,X,"Connaissances :Azure IaaS et PaaS: VM, Vnet, Blob, Azure DevOps, Azure Fonctions, Cosmo DB, etc.
Rédaction de livrables d'architectures.","architecte, azure"
Tech lead big data,X,"Nous recherchons un Techlead big data de 
Expérience souhaitée
• 5 ans minimum ayant des compétences en cloud et AWS.","tech lead, big data"
Développeur Devops senior ,X,"Nous recherchons pour un de nos clients, un devops senior
Contexte :
•  Le consultant retenu travaillera dans un environnement Flex office dans un effectif IT d'une centaine de personnes.
•  Il sera en relation avec l'équipe, les équipes de développement et les équipes de production (anglais requis) gérant les plateformes techniques.
•  Il aura en charge l'évolution et la gestion de la plateforme DevOps à la main: Subversion, TeamCity, Projet, Jira...
•  Il devra également accompagner le projet concernant les outils et normes DevOps : Checkmarx, XL Release, XL Deploy, Bitbucket/GIT et avoir de solides
Experience souhaitée
• Minimum 8 ans d’expérience.
 Compétences souhaitées
•  Connaissance des langages  C# .net (3 ans min).
 ","devops, developpeur, senior, c #, .net"
Consultant MOA,X,"
Nous recherchons pour un de nos clients , un consultant MOA
Compétences souhaitées
• Anglais Courant
• Prendre en charge le suivi d’un déploiement pour la partie MOA sur tous les jalons projets
• Expression des besoins et rédaction des spécifications fonctionnelles
•Gestion du planning général
• Tests / Recette
• Formation aux utilisateurs
• Coordination des équipes métiers et techniques
Mission :
=> Longue/ ASAP","MOA, test, recette, anglais, test, coordination, planification"
Ingénieur système Windows,X,"Nous recherchons un ingénieur système Windows H/F. 
Mission
=> Pré - embauche
TJM : selon profil.","Ingenieur, systeme, Windows "
WPF - DotNet - Visual Studio,X,"Nous recherchons pour un de nos clients, un développeur WPF-Dot net
Compétence souhaitée
•  connaissant WPF - DotNet - Visual Studio
Mission
=>  Longue démarrant ASAP ","WPF,  dotnet, dot.net,  .net,  Visual studio, expert, Developpeur,window presentation founder "
QC / Recetteur,X,"Nous recherchons pour un de nos clients, un QC testeur agile
Compétences souhaitées
•  Analyse de spécifications ou User Stories
•  Rédaction de cahier de recette et déroulé des scénarii de tests
• Outils : HP ALM, JIRA, Xray, Ghost Inspector, Postman, Sélénium, Confluence, Refer Test, SOAP UI, Suite Office
•  Bonnes notions de BDD : Oracle, MySQL, PostgreSQL, Shell
• Méthodes : Agile, Cycle en V
Experience souhaitée
•  3 années d'expérience en tant que consultant test et recette","QC, recetteur, tester, testeur, agile"
"Devops senior, Développeur Web Methods, Consultant moteur de règle",X,"Nous recherchons pour un de nos clients un consultant Web Methods confirmé 
Descriptif du poste
•  Développement d’un Framework générique permettant d’optimiser le développement rapide, le suivi et la gestion des nouveaux flux,
•  Recueil des besoins de la MOA,
•  Evolution de l’architecture technique en fonction des exigences fonctionnelles et mise en place des briques,
•  Rédaction des spécifications techniques et des procédures d’installation. 
•  Maintien opérationnel des flux en production 
• Support de niveau 2/3 en production. 
• Analyse des impacts opérationnels lors des interventions techniques de l’exploitation. 
Expérience souhaitée
•  Minimum  5 ans d’expérience dans les produits Web Methods
Mission 
=> Longue durée,
Possibilité de travailler en remote","devops, web, moteur regle, deploiement, coordination, web, methode"
"Chef de Projet Net suite, ZUORA",X,"Nous recherchons pour un de nos clients, un chef de projet .net suite
Contexte:
•  Le client est une société , en croissance, en mode post start-up appartenant à ses fondateurs et avec un actionnaire financier minoritaire au capital
•  Ils ont décidé de déployer Net suite d’Oracle pour la compta, plus des workflow ( gestion de projet, note de frais et demandes d’achats) ainsi que ZUORA pour la gestion commerciale (contrats, facturation…)
2 intégrateurs travaillent pour eux
•  En interne ils ont un chef de projet dédié qui pilote le volet IT du projet et dont le rôle est de piloter les intégrateurs et de coordonner l’interne et les intégrateurs
•  La charge de travail est trop importante et ils souhaitent un 2nd  chef de projet pour le seconder
•  La conception est terminée, et la phase actuelle consiste à développer les interfaces (et donc les flux de data) entre les 2 SI et leurs « bases de production » (ils gèrent beaucoup de données clients). Il faut faire un contrat d’interfaces (specs pour les développeurs)
Compétence recherchée:
•  Expérience dans une fonction comparable, connaissance des bonnes pratiques en la matière, un assez bon niveau général pour comprendre rapidement l’écosystème du client, la capacité à prendre de la hauteur et un bon drive pour interagir avec les prestataires.
•  Mais, en même temps, une dimension « hands-on » (aptitude à produire soi-même des livrables et du reporting de suivi de projet) et, très idéalement connaissance/expérience de Net suite et/ou ZUORA
Mission
=> 9 mois minimum  à plein temps dans l’entreprise
","net, suite,  netsuite, zuora"
Ingénieur devOps senior ,X,"Nous recherchons pour un de nos clients, un ingenieur devops
Compétences souhaitées
•  Jenkins
•  Maven
•  Docker Kubernetes / Anglais important ","devops,ingenieur "
Développeur Web Methods ,X,"Nous recherchons un développeur web methods.
Compétences souhaitées
•   Le niveau de formation BAC+5 n’est pas un pré requis","web method, web methods, webmethod"
Développeur front end HTML5,X,"Nous recherchons pour un de nos clients; un developpeur front end HTML5
Compétences souhaitées
•   Environnement technique : VueJS, gulp, grunt 
Expérience souhaitée
•  Minimum 4 ans   senior 
TJM cible : selon profil"," front end, HTML5, developpeur senior"
Product Owner mobile,X,"
Nous recherchons pour un de nos clients, un PO mobile
Compétences souhaitées
•   Environnement technique : back log, appli mobile, scrum
Experience souhaitées
•   Minimum 4 ans senior 
TJM cible : selon profil","Product Owner, mobile, technique, PO"
Ingénieur RUBY ON RAILS,X,"Nous recherchons pour un de nos clients un ingénieur ROR
Compétences souhaitées
•   Environnement technique : Docker, Ruby on rails,  Jenkins, ROR
Expérience souhaitée
•   Minimum 5 ans  à senior
TJM cible : selon profil","Ruby on Rails, ROR, ingenieur"
Ingénieur JAVA 8,X,"Nous recherchons pour un de nos clients, un ingénieur java 8
Compétences souhaitées
•  Environnement technique : JAVA 8, Spring Boot, NOSQL, Rabbit
  Expériences souhaitées:
• Minimum : 5 ans à senior
TJM cible : selon profil","Java 8, Sprint boot,  nosql,  No SQL, rabbitMq, analyse, Ingenieur"
MOE support et intégration Z/OS,X,"Nous recherchons pour un de nos clients, un MOE support et integration Z/os
Compétences souhaitées
•    Environnement technique : Z/OS et les composants de base (MVS, TSO, JES2, ISPF, RACF, RMF, SMF …) 
•    Tivoli NETVIEW, DB2 et outillage (Tools) 
Expérience souhaitée
•   Minimum 5 ans 
TJM cible : selon profil","Z/os, DB2, MVS, TSO, JES2, RACF, RMF, SMF, MOE, technique, support,gestionnaire de contrat , gestionnaire de service MOE"
"Ingénieur Cybersécurité- Gouvernance, Risk & Compliance",X,"Nous recherchons pour un de nos clients, un ingenieur cybersecurite gouvernance risque et compliance
Compétences souhaitées:
* Environnement technique : IAM, RGPD, cyber sécurité, Conformité RGPD + anglais 
Experience souhaitée:
* Minimum 4 ans
TJM cible : selon profil","cybersecurite, RGPD, IAM, compliance, risque,ingenieur "
Architecte technique infrastructure,X,"
Nous recherchons pour un de nos clients , un architecte technique 
Compétences souhaitées
• Environnement technique : Infra, Virtualisation
Expérience souhaitée 
• Entre 8 à 10 (SENIOR) – Anglais obligatoire + allemand courant 
TJM cible : selon profil","architecte, infrastructure, senior, anglais, virtualisation technique"
Consultant moteur de règles ,X,"Nous recherchons un consultant moteur de règles connaissant BRMS,ODM 
Mission
=> Longue /demarrage asap","moteur de regle, BRMS, ODM,ingenieur , software ingenieur, decision management, business rules"
Assistance technique solution Cegid People Net,X,"Nous recherchons pour un de nos clients un assistant technique solution Cegid people net
Compétences souhaitées:
•  Developper les fonctionnalité nouvelles
•  Mettre en place des évolutions règlementaires de l'éditeur(HotFix)
•  Corriger les 'anomalies
• Documenter des travaux réalisés au niveau fonctionnel et technique
• Réaliser et MAJ des plans de tests
•  Faire de la recette unitaire des développement réalisés
•  Etre en support de la MOA lors des recettes métiers
Mission:
=> 1 an minimum a partir du 20 février 2020
","People net, Cegid,  assistant technique, analyse,Technicien / Technicienne support client
Ingénieur / Ingénieure assistance technique
Représentant technique / Représentante technique utilisateur
Ingénieur / Ingénieure support technique
Directeur / Directrice assistance technique
Responsable centre de support client
Expert / Experte support technique
Spécialiste support technique
Technicien / Technicienne support technique
Responsable support technique clients
Ingénieur / Ingénieure service client"
Consultant SAP,X,"Nous recherchons pour un de nos clients, un consultant pour accompagner une migration SAP dans l'industrie
recherche d'un expert ou bon expert
Compétences souhaitées:
• Connaissances des modules suivants 
• FICO( finance/compta)
• MM(Materials Mgt)
• SD(sales & distribution)
• WM(Warehouse mgt)
•QM(Quality mgt)
• PP(planning& prod control)t
Mission 
=>Démarrant en mars/avril","SAP, FICO, MM, SD, WM, QM, expert"
Développeur IT MOE Pricing service ,X,"Nous recherchons pour un de nos clients, un MOE pricing
Contexte
Le client souhaite l'accompagnement d'un archi/QA pur le dev de la nouvelle plateforme pricing (GMD Pricing service) et la mise en place de nouveaux projets( MASAIFRTB/APEX/MIFID/FXCSP)
Compétences souhaitées
• IBM Symfony
• Stack Elastic
• Couchbase
• Scripting: indos/PowerShell/Linux/Bash ou Python/ Git/Gitlab(CI/CD), Control M
• Anglais","MOE, Pricing, MIFI, FXCSP, APEX, Symfony, anglais, control M"
Développeur full stack Web pricer,X,"Nous recherchons pour un de nos clients  un developpeur dont le rôle sera:
Descriptif du poste
Compétences souhaitées
•  Analyse de l'existant, maintenance évolutive et corrective au niveau de l'application de trading dealing FX
•   Participer a l'élaboration de nouveaux projets au niveaux briques Pricing/ Trading
Compétences souhaitées
•   .Net
•   Javascript
•   KnockOutJs
•   Angular Js
•   Angular4 ou supérieur","full stack, Web pricer, developpeur, javascript, angular"
Architecte Urbaniste data center anglais courant ,X,"Nous recherchons pour un de nos clients, un architecte urbaniste date
Compétences souhaitées
• connaissance de l'envrt des datacenter
• anglais courant 
• Gérer l'évolution du datacenter vers cloud hybride on prémisse et cloud des projets de dépliements de plateformes d'infrastructure pour les différentes • applications
• Expertise urbaniste datacenter
•ténacité et curiosité
• autonome , recherche d'efficacité et simplicité
• gérer des réunions en français et anglais
Contrat CDD belle rémuneration garantie!!!
Expérience souhaitée
• Minimum 20 ans","architecte, urbaniste, data, anglais"
Ingénieur Etudes et Développement Backend PHP ,X,"Nous recherchons pour un de nos clients, un ingenieur etude et developpement
Descriptif du poste
• Vous avez plus de 4 années d'expériences sur PHP
• Vous êtes curieux et assurez spontanément une veille technologique pour rester innovant
• Vous maîtrisez HTML et CSS
• Une appétences ou connaissance pour Symfony / Laravel est un grand plus
• Vous avez pratiqué les Tests Unitaires et l'intégration continue
• Les APIs n'ont pas de secret pour vous !
• Capable d'écoute, vous êtes un bon communicant et aimez le travail en équipe
Compétences souhaitées
• Symfony / Laravel (Maitrisé)
• PHALCON (Maitrisé)
• GIT (Maitrisé","ingenieur, etude, developpement, back end, php, backend,  HTML, Css"
Administrateur Système et réseaux / Bases de données ,X,"Contexte et missions :
• Mise à jour de certains serveurs Microsoft Windows actuellement en version Windows 2008 R2 ou antérieure
• Migration applicative pour assurer la compatibilité « OS / applications »
• Application des politiques de sécurité sur les serveurs
• Upgrade et migration des environnements virtualisés
• Réinstallation des environnements applicatifs sur des nouveaux serveurs
• Mise en validation des configurations Windows et Réseau
Compétences souhaitées
• Compétences « Système » indispensables : Microsoft Windows, Citrix, VMWare, Batch, PowerShell,...
• Compétences « Bases de données » indispensables : Oracle, SQL Server 2008 R2 / 2016,...
• Compétences « Réseaux » indispensables : Switch Cisco / HP, VLAN et Port-Security, 
• Sens du service (support utilisateurs)
• Maîtrise de l'anglais pour des réunions techniques et des conférences téléphoniques","administrateur système, reseau, BDD, base donnee, anglais, communication, analyse"
Gestion de projet de production en mode Agile,X,"
Nous recherchons pour un de nos clients, un chef de projet production mongo db
Descriptif du poste
• Faire le lien entre les équipes des entités du Groupe (Développeurs, Architectes, Chef de Projets), Clusters (Chef de Projets, Responsables du Build et du Run) et les équipes techniques du Socle Natif en portant la vision du produit sur le périmètre data
• Cadrer et suivre la co-construction des nouveaux produits de la plateforme Data ainsi que l’adoption de ces nouveaux produits au sein des Entités et des Clusters
• Garant de la cohérence de la roadmap de la Squad Data vis-à-vis des besoins métiers (Entités)
•Accompagner les équipes des Clusters dans leur montée en compétence sur ces nouveaux produits Data, et animer un « Club utilisateur »
• Promouvoir les produits du Socle Natif (dont la Data fait partie)
• Créer les nouvelles UO (Unité d’œuvre) des produits Data et piloter la chaine produit /facturation avec les équipes Stratégie Innovation & Services et Contrôle de gestion.
• Contexte technique : Hadoop, Horton Works, mapR,  open stack, MongoDB
Compétences minimales requises
• Gestion de projet de production confirmée en mode Agile ;
• Très bonne connaissance SI monde Open et des nouvelles technologies Data, Open Data, bases no SQL ;
• Bonne connaissance Devops, Conteneurisation, API, bases ;
• Connaissance des process interne, gestion des budgets, ... ;
• Connaissance réseau et sécurité
Mission 
=>longue/démarrant ASAP..","Chef de projet, production, mongo db, open stack, Hadoop, Horton, devops, api, process interne, technique"
Technicien de déploiement/support N2-3 habilitable (H/F),X,"Nous recherchons pour un de nos clients un  Technicien de déploiement/support N2-3 habilitable (H/F)
Descriptif du poste
•  déploiement de postes de travail, support de proximité, assistance aux utilisateurs
Compétence souhaitée
•   Connaissance de l'environnement Windows 7/10
Mission
=>Durée : 6 mois renouvelables","technicien, support, deploiement, technique"
 Développeur VB6 confirmé,X,"Nous recherchons pour un de ns clients, un developpeur VB6 ","VB6, developpeur, technique"
 Développeur ReactJS expérimenté,X," Nous recherchons pour un de nos clients, un développeur ReactJS expérimentés","react js, reactjs, developpeur, javascript, fullstack"
Lead développeur IOS ou Android,X,"Nous recherchons pour un de nos clients, un led developpeur Ios ou Android
Compétence souhaitée
•  IOS ou Android","ios, Android, lead, coordination, developpeur, pilotage"
Delivery des ressources VMWare,X,"
Nous recherchons pour un de nos clients, un developpeur vmware 
Description du poste
Expérience souhaitées
Profil : Confirmé
Périmètre technique : VMware, stockage et réseau
• Assurer le delivery sur les infrastructures VMware, stockage et réseau 
• Prise en charge et réalisation des demandes, incidents sur les infrastructures.
•Réaliser des campagnes de montées de versions (VmHardware, Vmtools...)  
• Assurer le support aux équipes d’exploitations, d’intégration des SI sous le pilotage des experts du domaine SID
• Actes techniques d’administration sur les infrastructures pour assurer le maintien en condition opérationnelle
• Résoudre les incidents bloquants dans le respect de l'offre de service.
• Tickets de demande et d’incident renseignés dans l’outil de ticketing interne.
• Formaliser (rédiger) les modes opératoires et les processus de delivery et de traitement des incidents récurrents
Modes opératoires et procédures actualisés
•Assurer le reporting de l’activité
• Tableau de bord de pilotage à jour+B222 Compétences fonctionnelles et techniques requises
• Delivery, traitement des incidents, maintien en condition opérationnelle des infrastructures virtuelles et SAN  (EMC VMAX et DMX IBM V7000 ; Brocade San FC)
• Delivery du socle réseau (Switch et routeur Cisco)
Compétences  souhaitées
• Bonne capacité relationnelle et posture service
•Expérience d’exploitation indispensable
•  Bon esprit de synthèse
• Aptitude rédactionnelle","VMWare, developpeur, incident,  relation, redaction, synthese, architecte, architecte de solutions "
Développeur senior Symfony 3/4 - Nodejs ,X,"Nou recherchons pour un de nos clients un développeur senior Symfony
Expériences souhaitées
• Minimum 5 ans d'expérience dont 2 ans en tant que Fullstack","Symfony 3, Symfony 4, nodejs, developpeur, fullstack,analyse, technique"
"Développeur medior Python, Javascript, Scala ",X,"Nous recherchons pour un de nos clients un développeur medior/javascript 
Compétences souhaitées:
• Une première expérience sur un projet Big Data
• Python
• Javascript","python, javascript, scala, big data"
Project Manager Fonctionnel,X,"
Nous recherchons pour un de nos clients, un chef de projet  fonctionnel /métier assurance
Expérience souhaitée:
•   senior - 6 ans  dans l'assurance
TJM cible : selon profil
","Project manager, fonctionnel, chef projet, fonctionnel, senior"
Développeur angular senior ,X,"
Nous recherchons pour un de nos clients, un développeur angular sénior,
Compétences souhaitées
•  Environnement technique : Angular, Javascript, Frontend
Expérience souhaite:
•  3 ans en développement Frontend
TJM cible : selon profil","Angular, senior, developpeur"
"Ingénieur cybersécurité - Gouvernance, Risk & Compliance",X,"

Nous recherchons pour un de nos clients, un ingénieur cybersécurité
Compétences souhaitées:
•  Environnement technique requis : IAM, RGPD, cyber sécurité, Conformité RGPD + anglais 
Expérience souhaitée:
• Minimum 4 ans
TJM cible : selon profil","cybersecurite, RGPD, IAM, compliance, risque, cyber securite, gouvernance, ingenieur, analyse"
Chef de Projet NEXT Workplace,X,"Nous recherchons pour un de nos clients, un chef de Projet NEXT Workplace (Poste de travail, Mobilité, Sécurité, Communication & Gestion du changement)
Descriptif  du poste
•  Définition & Maintenance du catalogue matériel global VINCI Construction (Ordinateurs & terminaux mobiles).
•  Définition, Implémentation et MCO de l’infrastructure de gestion de l’environnement poste de travail (SCCM, Intune, Antivirus Symantec, etc.)
•   Définition, Implémentation et MCO du socle du poste de travail
•  Définition, Implémentation et MCO du packaging applicatif.
Les objectifs du chef de projet seront les suivantes :
•  Suivre et piloter les missions et projets de l’intégrateur.
•  Assurer l’atterrissage en production des solutions définies.
•  Mettre en place l’ensemble des services récurrents avec le prestataire conformément au périmètre défini.
•  Préparer la nouvelle organisation interne à la DSI pour assurer le bon atterrissage de ces nouveaux services (Run, contractualisation, catalogue de service, KPI, reporting,)
•  Construire avec chacune des divisions les plans de déploiements, en gérer les contraintes et priorité.
•  Planifier et mettre en œuvre un plan de communication spécifique.
•  Planifier et dérouler la conduite du changement au sein des divisions qui seront impactées par ce nouveau service.
• S’assurer du bon déroulé du déploiement dans les divisions
•  S’assurer de la bonne fourniture du service aux utilisateurs et effectuer le reporting nécessaire (KPI)
Afin d’atteindre ces objectifs, le chef de projet :
• Défini le planning avec les équipes projets (phases, lots de travaux, jalons...)
• Pilote et mesure l’état d’avancement (création des tableaux de bord, choix des indicateurs, planification des comités, ...).
•  Anime les instances de suivi du projet (ateliers, comité projet, ...)
•  Gère le reporting et informe, en fonction de la situation, sur le pilotage du projet de manière complète et régulière pour qu’il puisse assumer ses tâches de pilotage
•  Adopte les méthodes et outils de gestion de projets en vigueur (Project online, Power BI, ...) et respecte les processus production (CAB, ...)
Compétences souhaitées
•   Vous êtes méthodique et rigoureux (se)
•   Vous êtes dynamique, motivé(e), curieux (se) avec une aisance relationnelle ;
•   Force de proposition, vous prenez en main le poste d’une manière proactive
•   Vous avez un vrai esprit d’équipe et souhaitez intégrer une structure où l’ambiance de travail se veut collaborative, enthousiaste et efficace.
•   Vous avez un sens de l'écoute avec de bonnes qualités relationnelles et savez travailler en équipe.
•   Votre bonne maitrise de l'Anglais est un prérequis pour communiquer avec nos entités à l'étranger.
Environnement technique
•    Windows as a Service, Windows 10, Android, iOS
•    SCCM, Intune, Azure AD, Office 365, Symantec End Point Protection.
Expérience souhaitée
•  De formation Ingénieur informatique ou équivalent, avec d’expériences significatives (minima 10 ans) dans le même environnement de missions et en particulier sur la gestion récurrente des évolutions de l’écosystème utilisateur.
 ","chef projet, next, windows, Android, ios, sccm, azure, ad symatec, mco, méthodique, rigueur, proposition"
Expert Wsus niveau 3,X,"
Nous recherchons pour un de nos clients, un expert Wsus
Descriptif du poste
•   Rédiger des  Template d'architecture, 
Réaliser la création de master
Profil recherché:
•  Un expert/confirmé OS Serveur Windows 2016 qui a déjà mis en œuvre le composant WSUS  
• création de master Windows dans l’outil SCCM
•  mise en œuvre de serveurs de fichiers avec réplication DFS-R
•  Connaissance sur le clustering de services Windows
Mission
=> durée 2x 3 mois","WSUS, expert, redaction, clustering, Windows,système ingenieur, ingenieur système et réseau ingénieur informatique"
Développeur confirmé .NET Azure ,X,"Nous recherchons pour un de nos clients, un développeur confirmé.net 
Compétences souhaitées:
• Une expertise sur les technologies suivantes : MVC 5, .Net Core 2, Entity Framework 6, C# 6, JQuery / Bootstrap, Connaissance de GIT, Connaissance du cloud Azure,
 • Une Connaissance des processus de déploiement Devops
Expériences souhaitées: 
• 3 ans d’expériences minimum dans le développement de sites Web en ASP.NET MVC 
• 1 an d’expérience minimum en Dot net Core et environnement Azure

",".net, dot.net,  dotnet,  dot azure, developpeur, analyse"
